,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
0,42,78,126,258,868,1690,1606,1070,1764,3472,2636,2199,3025,2586,3172,3227,3798,3443,3607,2952,3392,2724,4564,3862,3724,4795,3032,4717,4748,6532,7248,3172,0
