,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
0,198,206,292,398,638,1099,991,1011,1155,1240,1210,1383,2090,2025,2085,1933,2883,3040,2228,3504,3876,3782,4094,3965,2991,2066,3783,3774,3246,4083,4603,749,0
