,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
0,75,163,228,357,495,931,1074,916,1208,1584,1519,1013,1635,1300,2245,1983,2406,2569,2168,2157,2177,2240,2178,2099,1994,2488,2237,2476,3749,2661,3679,1437,0
