,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
0,692,893,748,703,743,1128,1190,944,1231,1600,1531,1018,1642,1313,2253,2006,2428,2628,2237,2250,2295,2411,2337,2278,2213,2763,2567,2888,4456,3308,4504,1869,0
