,epiweek,date,counts_Yorkshire and The Humber,counts_Yorkshire and The Humber_B-1-177,counts_Yorkshire and The Humber_alpha,counts_Yorkshire and The Humber_delta,counts_Yorkshire and The Humber_omicron,counts_Yorkshire and The Humber_others,counts_South East,counts_South East_B-1-177,counts_South East_alpha,counts_South East_delta,counts_South East_omicron,counts_South East_others,counts_North East,counts_North East_B-1-177,counts_North East_alpha,counts_North East_delta,counts_North East_omicron,counts_North East_others,counts_West Midlands,counts_West Midlands_B-1-177,counts_West Midlands_alpha,counts_West Midlands_delta,counts_West Midlands_omicron,counts_West Midlands_others,counts_East of England,counts_East of England_B-1-177,counts_East of England_alpha,counts_East of England_delta,counts_East of England_omicron,counts_East of England_others,counts_East Midlands,counts_East Midlands_B-1-177,counts_East Midlands_alpha,counts_East Midlands_delta,counts_East Midlands_omicron,counts_East Midlands_others,counts_North West,counts_North West_B-1-177,counts_North West_alpha,counts_North West_delta,counts_North West_omicron,counts_North West_others,counts_London,counts_London_B-1-177,counts_London_alpha,counts_London_delta,counts_London_omicron,counts_London_others,counts_South West,counts_South West_B-1-177,counts_South West_alpha,counts_South West_delta,counts_South West_omicron,counts_South West_others,counts_B-1-177,counts_alpha,counts_delta,counts_omicron,counts_others,counts_England,freq_Yorkshire and The Humber_B-1-177,freq_Yorkshire and The Humber_alpha,freq_Yorkshire and The Humber_delta,freq_Yorkshire and The Humber_omicron,freq_Yorkshire and The Humber_others,freq_South East_B-1-177,freq_South East_alpha,freq_South East_delta,freq_South East_omicron,freq_South East_others,freq_North East_B-1-177,freq_North East_alpha,freq_North East_delta,freq_North East_omicron,freq_North East_others,freq_West Midlands_B-1-177,freq_West Midlands_alpha,freq_West Midlands_delta,freq_West Midlands_omicron,freq_West Midlands_others,freq_East of England_B-1-177,freq_East of England_alpha,freq_East of England_delta,freq_East of England_omicron,freq_East of England_others,freq_East Midlands_B-1-177,freq_East Midlands_alpha,freq_East Midlands_delta,freq_East Midlands_omicron,freq_East Midlands_others,freq_North West_B-1-177,freq_North West_alpha,freq_North West_delta,freq_North West_omicron,freq_North West_others,freq_London_B-1-177,freq_London_alpha,freq_London_delta,freq_London_omicron,freq_London_others,freq_South West_B-1-177,freq_South West_alpha,freq_South West_delta,freq_South West_omicron,freq_South West_others,freq_B-1-177_England,freq_alpha_England,freq_delta_England,freq_omicron_England,freq_others_England
73,73,2021/05/16,839,0,641,164,0,34,427,0,155,261,0,6,216,0,154,56,0,3,559,1,273,282,0,2,765,0,245,509,0,6,641,0,313,324,0,3,2795,0,507,2280,0,5,891,0,274,561,0,21,157,0,89,65,0,2,1,2651,4502,0,82,7236,0.0,0.7640047675804529,0.19547079856972585,0.0,0.04052443384982122,0.0,0.3629976580796253,0.6112412177985949,0.0,0.01405152224824356,0.0,0.7129629629629629,0.25925925925925924,0.0,0.013888888888888888,0.0017889087656529517,0.4883720930232558,0.5044722719141324,0.0,0.0035778175313059034,0.0,0.3202614379084967,0.665359477124183,0.0,0.00784313725490196,0.0,0.48829953198127923,0.5054602184087363,0.0,0.0046801872074883,0.0,0.1813953488372093,0.815742397137746,0.0,0.0017889087656529517,0.0,0.3075196408529742,0.6296296296296297,0.0,0.02356902356902357,0.0,0.5668789808917197,0.4140127388535032,0.0,0.012738853503184714,0.00013819789939192924,0.36636263128800445,0.6221669430624654,0.0,0.011332227750138198
74,74,2021/05/23,832,0,434,382,0,16,1027,0,179,841,0,5,238,1,101,135,0,1,836,0,166,668,0,2,700,0,140,555,0,3,694,0,221,471,0,2,4353,0,394,3954,0,1,1452,0,235,1173,0,11,200,1,49,145,0,2,2,1919,8324,0,43,10288,0.0,0.5216346153846154,0.45913461538461536,0.0,0.019230769230769232,0.0,0.17429406037000975,0.818889970788705,0.0,0.004868549172346641,0.004201680672268907,0.42436974789915966,0.5672268907563025,0.0,0.004201680672268907,0.0,0.19856459330143542,0.7990430622009569,0.0,0.0023923444976076554,0.0,0.2,0.7928571428571428,0.0,0.004285714285714286,0.0,0.3184438040345821,0.6786743515850144,0.0,0.002881844380403458,0.0,0.0905122903744544,0.9083390764989663,0.0,0.00022972662531587412,0.0,0.1618457300275482,0.8078512396694215,0.0,0.007575757575757576,0.005,0.245,0.725,0.0,0.01,0.00019440124416796267,0.18652799377916018,0.8090979782270606,0.0,0.004179626749611197
75,75,2021/05/30,1352,0,375,955,0,22,1776,0,119,1654,0,2,526,0,117,406,0,0,1328,0,116,1211,0,1,984,1,87,888,0,7,1044,0,175,869,0,0,6362,2,238,6114,0,4,2643,0,235,2388,0,6,518,1,55,460,0,0,4,1517,14945,0,42,16508,0.0,0.27736686390532544,0.7063609467455622,0.0,0.016272189349112426,0.0,0.0670045045045045,0.9313063063063063,0.0,0.0011261261261261261,0.0,0.2224334600760456,0.7718631178707225,0.0,0.0,0.0,0.08734939759036145,0.9118975903614458,0.0,0.0007530120481927711,0.0010162601626016261,0.08841463414634146,0.9024390243902439,0.0,0.007113821138211382,0.0,0.16762452107279693,0.8323754789272031,0.0,0.0,0.00031436655139893113,0.03740961961647281,0.9610185476265325,0.0,0.0006287331027978623,0.0,0.08891411275066213,0.9035187287173666,0.0,0.0022701475595913734,0.0019305019305019305,0.10617760617760617,0.888030888030888,0.0,0.0,0.000242306760358614,0.09189483886600436,0.9053186333898716,0.0,0.002544220983765447
76,76,2021/06/06,1064,0,122,934,0,4,1708,0,70,1632,0,3,586,0,41,545,0,0,1259,0,56,1200,0,3,1000,1,75,921,0,2,1127,0,103,1019,0,5,6592,0,171,6417,0,2,2694,0,108,2566,0,8,1290,1,88,1200,0,1,2,834,16434,0,28,17298,0.0,0.11466165413533834,0.8778195488721805,0.0,0.0037593984962406013,0.0,0.040983606557377046,0.955503512880562,0.0,0.001756440281030445,0.0,0.06996587030716724,0.9300341296928327,0.0,0.0,0.0,0.04447974583002383,0.9531374106433678,0.0,0.0023828435266084196,0.001,0.075,0.921,0.0,0.002,0.0,0.09139307897071872,0.904170363797693,0.0,0.0044365572315882874,0.0,0.025940533980582523,0.9734526699029126,0.0,0.00030339805825242716,0.0,0.0400890868596882,0.9524870081662955,0.0,0.002969561989606533,0.0007751937984496124,0.06821705426356589,0.9302325581395349,0.0,0.0007751937984496124,0.00011562030292519366,0.04821366631980576,0.9500520291363164,0.0,0.0016186842409527114
77,77,2021/06/13,947,0,26,917,0,4,1082,0,26,1054,0,0,851,0,15,835,0,0,1164,0,12,1150,0,2,678,0,18,659,0,1,875,0,25,849,0,1,4975,0,38,4932,0,4,1705,0,48,1651,0,5,1483,0,22,1461,0,0,0,230,13508,0,17,13755,0.0,0.027455121436114043,0.9683210137275607,0.0,0.004223864836325237,0.0,0.024029574861367836,0.9741219963031423,0.0,0.0,0.0,0.01762632197414806,0.981198589894242,0.0,0.0,0.0,0.010309278350515464,0.9879725085910653,0.0,0.001718213058419244,0.0,0.02654867256637168,0.971976401179941,0.0,0.0014749262536873156,0.0,0.02857142857142857,0.9702857142857143,0.0,0.001142857142857143,0.0,0.00763819095477387,0.991356783919598,0.0,0.0008040201005025126,0.0,0.0281524926686217,0.9683284457478006,0.0,0.002932551319648094,0.0,0.014834794335805798,0.9851652056641942,0.0,0.0,0.0,0.016721192293711377,0.9820428934932752,0.0,0.0012359142130134496
78,78,2021/06/20,2103,0,22,2080,0,1,1833,0,12,1817,0,1,1411,0,24,1387,0,0,1303,0,12,1290,0,1,1281,0,13,1262,0,0,1145,0,21,1124,0,0,3853,0,28,3823,0,0,2754,0,27,2698,0,7,2091,0,20,2068,0,0,0,179,17549,0,10,17738,0.0,0.010461245839277223,0.9890632429862102,0.0,0.00047551117451260106,0.0,0.006546644844517185,0.9912711402073104,0.0,0.0005455537370430987,0.0,0.01700921332388377,0.9829907866761163,0.0,0.0,0.0,0.00920951650038373,0.990023023791251,0.0,0.0007674597083653108,0.0,0.01014832162373146,0.985167837626854,0.0,0.0,0.0,0.01834061135371179,0.9816593886462882,0.0,0.0,0.0,0.007267064624967558,0.9922138593303919,0.0,0.0,0.0,0.00980392156862745,0.9796659404502541,0.0,0.002541757443718228,0.0,0.009564801530368245,0.9890004782400765,0.0,0.0,0.0,0.010091329349419326,0.989344909234412,0.0,0.0005637614161686774
79,79,2021/06/27,1799,0,12,1786,0,0,3454,0,10,3427,0,2,1660,0,6,1652,0,1,1419,0,12,1405,0,0,1567,0,14,1545,0,3,1465,0,13,1452,0,0,2932,0,6,2924,0,0,3283,20,74,3133,0,14,3839,0,25,3806,0,0,20,172,21130,0,20,21342,0.0,0.006670372429127293,0.9927737632017788,0.0,0.0,0.0,0.0028951939779965257,0.9921829762594094,0.0,0.0005790387955993051,0.0,0.0036144578313253013,0.9951807228915662,0.0,0.0006024096385542169,0.0,0.008456659619450317,0.9901338971106413,0.0,0.0,0.0,0.008934269304403318,0.9859604339502234,0.0,0.0019144862795149968,0.0,0.008873720136518772,0.9911262798634812,0.0,0.0,0.0,0.0020463847203274215,0.9972714870395635,0.0,0.0,0.006091989034419738,0.02254035942735303,0.954310082241852,0.0,0.0042643923240938165,0.0,0.006512112529304506,0.9914040114613181,0.0,0.0,0.0009371192952862899,0.008059225939462093,0.9900665354699654,0.0,0.0009371192952862899
80,80,2021/07/04,2383,0,3,2376,0,0,2509,0,4,2490,0,0,2806,0,6,2798,1,0,1350,0,6,1342,0,1,1597,0,3,1581,0,0,1489,0,12,1475,0,0,2850,0,5,2841,0,0,2377,0,7,2296,0,1,2897,0,10,2863,0,0,0,56,20062,1,2,20121,0.0,0.001258917331095258,0.9970625262274444,0.0,0.0,0.0,0.0015942606616181746,0.9924272618573137,0.0,0.0,0.0,0.0021382751247327157,0.9971489665003563,0.0003563791874554526,0.0,0.0,0.0044444444444444444,0.9940740740740741,0.0,0.0007407407407407407,0.0,0.001878522229179712,0.9899812147777082,0.0,0.0,0.0,0.008059100067159167,0.9905977165883143,0.0,0.0,0.0,0.0017543859649122807,0.9968421052631579,0.0,0.0,0.0,0.002944888514934792,0.9659234328986117,0.0,0.00042069835927639884,0.0,0.0034518467380048328,0.9882637210907835,0.0,0.0,0.0,0.002783161870682372,0.9970677401719596,4.969931911932806e-05,9.939863823865613e-05
81,81,2021/07/11,2337,0,1,2333,0,0,2336,0,1,2293,0,1,1292,0,1,1290,0,0,1548,0,1,1540,0,0,1392,0,1,1361,0,0,952,0,2,941,0,4,2424,0,3,2417,0,0,2657,0,3,2544,0,1,1064,0,0,1055,0,0,0,13,15774,0,6,15793,0.0,0.0004278990158322636,0.998288403936671,0.0,0.0,0.0,0.0004280821917808219,0.9815924657534246,0.0,0.0004280821917808219,0.0,0.0007739938080495357,0.9984520123839009,0.0,0.0,0.0,0.0006459948320413437,0.9948320413436692,0.0,0.0,0.0,0.0007183908045977011,0.9777298850574713,0.0,0.0,0.0,0.0021008403361344537,0.9884453781512605,0.0,0.004201680672268907,0.0,0.0012376237623762376,0.9971122112211221,0.0,0.0,0.0,0.0011290929619872036,0.9574708317651487,0.0,0.0003763643206624012,0.0,0.0,0.9915413533834586,0.0,0.0,0.0,0.0008231494966124232,0.9987969353511049,0.0,0.0003799151522826569
82,82,2021/07/18,3572,0,2,3565,0,0,3173,0,4,3117,0,1,1002,0,0,1000,0,0,2195,0,1,2188,0,0,2348,0,2,2289,0,0,1646,0,1,1635,0,0,3385,0,4,3373,0,1,3957,0,6,3809,1,1,2596,5,7,2552,0,1,5,27,23528,1,4,23565,0.0,0.0005599104143337066,0.998040313549832,0.0,0.0,0.0,0.0012606366214938543,0.982351087299086,0.0,0.0003151591553734636,0.0,0.0,0.998003992015968,0.0,0.0,0.0,0.00045558086560364467,0.9968109339407745,0.0,0.0,0.0,0.0008517887563884157,0.9748722316865417,0.0,0.0,0.0,0.0006075334143377885,0.9933171324422844,0.0,0.0,0.0,0.0011816838995568684,0.9964549483013294,0.0,0.0002954209748892171,0.0,0.001516300227445034,0.9625979277230224,0.00025271670457417233,0.00025271670457417233,0.001926040061633282,0.002696456086286595,0.9830508474576272,0.0,0.0003852080123266564,0.0002121790791427965,0.0011457670273711013,0.9984298748143433,4.2435815828559307e-05,0.00016974326331423723
83,83,2021/07/25,2732,0,0,2716,0,0,2711,0,2,2655,0,1,730,0,1,729,0,0,2157,0,0,2144,0,0,2647,0,0,2589,0,0,1241,0,0,1237,0,0,3978,0,3,3963,0,2,4909,0,7,4728,0,1,4333,0,1,4267,0,0,0,14,25028,0,4,25046,0.0,0.0,0.9941434846266471,0.0,0.0,0.0,0.0007377351530800443,0.9793434157137587,0.0,0.00036886757654002215,0.0,0.0013698630136986301,0.9986301369863013,0.0,0.0,0.0,0.0,0.9939731108020399,0.0,0.0,0.0,0.0,0.9780884019644881,0.0,0.0,0.0,0.0,0.9967767929089444,0.0,0.0,0.0,0.0007541478129713424,0.9962292609351433,0.0,0.0005027652086475615,0.0,0.001425952332450601,0.9631289468323487,0.0,0.00020370747606437156,0.0,0.00023078698361412417,0.9847680590814678,0.0,0.0,0.0,0.0005589714924538849,0.999281322366845,0.0,0.00015970614070110996
84,84,2021/08/01,2621,0,2,2596,0,0,3367,0,3,3290,0,0,834,0,0,829,0,0,2209,0,0,2152,0,1,3337,0,0,3279,0,0,2113,0,2,2101,0,2,3655,0,2,3648,0,0,3820,4,42,3632,0,5,3121,0,0,3085,0,1,4,51,24612,0,9,24676,0.0,0.0007630675314765357,0.9904616558565433,0.0,0.0,0.0,0.000891000891000891,0.9771309771309772,0.0,0.0,0.0,0.0,0.9940047961630696,0.0,0.0,0.0,0.0,0.9741964689904934,0.0,0.0004526935264825713,0.0,0.0,0.9826191189691339,0.0,0.0,0.0,0.000946521533364884,0.9943208707998107,0.0,0.000946521533364884,0.0,0.0005471956224350205,0.9980848153214774,0.0,0.0,0.0010471204188481676,0.01099476439790576,0.9507853403141361,0.0,0.0013089005235602095,0.0,0.0,0.9884652355014418,0.0,0.0003204101249599487,0.00016210082671421625,0.002066785540606257,0.9974063867725725,0.0,0.00036472686010698656
85,85,2021/08/08,2419,0,0,2385,0,0,3453,0,1,3363,0,2,777,0,0,775,0,0,2109,0,0,2024,0,1,2908,0,0,2833,0,1,1980,0,0,1957,0,0,2618,0,1,2589,0,2,3809,0,4,3618,0,1,2634,0,1,2584,0,0,0,7,22128,0,7,22142,0.0,0.0,0.9859446052087639,0.0,0.0,0.0,0.0002896032435563278,0.9739357080799305,0.0,0.0005792064871126556,0.0,0.0,0.9974259974259975,0.0,0.0,0.0,0.0,0.959696538643907,0.0,0.000474158368895211,0.0,0.0,0.9742090784044016,0.0,0.000343878954607978,0.0,0.0,0.9883838383838384,0.0,0.0,0.0,0.0003819709702062643,0.9889228418640184,0.0,0.0007639419404125286,0.0,0.0010501443948542925,0.9498556051457075,0.0,0.00026253609871357313,0.0,0.00037965072133637056,0.9810174639331815,0.0,0.0,0.0,0.0003161412699846446,0.9993677174600307,0.0,0.0003161412699846446
86,86,2021/08/15,3099,0,0,3033,0,0,4033,0,1,3867,0,1,990,0,0,980,0,0,3054,0,0,2917,0,0,2862,0,1,2793,0,0,2355,0,0,2333,0,1,3377,0,1,3344,0,2,3173,0,2,3040,0,1,4274,0,0,4198,0,0,0,5,26505,0,5,26515,0.0,0.0,0.978702807357212,0.0,0.0,0.0,0.0002479543763947434,0.9588395735184726,0.0,0.0002479543763947434,0.0,0.0,0.98989898989899,0.0,0.0,0.0,0.0,0.9551407989521938,0.0,0.0,0.0,0.00034940600978336826,0.9758909853249476,0.0,0.0,0.0,0.0,0.9906581740976645,0.0,0.0004246284501061571,0.0,0.0002961208172934557,0.990228013029316,0.0,0.0005922416345869114,0.0,0.0006303183107469272,0.9580838323353293,0.0,0.0003151591553734636,0.0,0.0,0.9822180627047262,0.0,0.0,0.0,0.00018857250612860644,0.9996228549877428,0.0,0.00018857250612860644
87,87,2021/08/22,3478,0,0,3345,0,0,3825,0,1,3641,0,0,1055,0,0,1037,0,0,3237,0,1,3061,0,0,3115,0,1,3023,0,1,2545,0,2,2488,0,1,4085,0,0,3991,0,0,3545,0,1,3376,1,1,3813,0,0,3699,0,1,0,6,27661,1,4,27672,0.0,0.0,0.9617596319723979,0.0,0.0,0.0,0.00026143790849673205,0.9518954248366013,0.0,0.0,0.0,0.0,0.9829383886255925,0.0,0.0,0.0,0.00030892801977139327,0.9456286685202347,0.0,0.0,0.0,0.00032102728731942215,0.9704654895666132,0.0,0.00032102728731942215,0.0,0.0007858546168958742,0.9776031434184675,0.0,0.0003929273084479371,0.0,0.0,0.9769889840881273,0.0,0.0,0.0,0.00028208744710860365,0.952327221438646,0.00028208744710860365,0.00028208744710860365,0.0,0.0,0.970102281667978,0.0,0.00026226068712300026,0.0,0.0002168256721595837,0.9996024862677074,3.6137612026597286e-05,0.00014455044810638914
88,88,2021/08/29,3313,0,0,3159,0,1,3995,0,0,3799,0,0,899,0,0,880,0,0,2374,0,0,2250,0,0,3842,0,0,3734,0,3,2104,0,2,2041,0,0,3914,0,0,3823,0,2,3852,0,2,3693,0,2,3525,0,0,3396,0,0,0,4,26775,0,8,26787,0.0,0.0,0.9535164503471174,0.0,0.00030184123151222455,0.0,0.0,0.9509386733416771,0.0,0.0,0.0,0.0,0.978865406006674,0.0,0.0,0.0,0.0,0.9477674810446504,0.0,0.0,0.0,0.0,0.9718896408120771,0.0,0.0007808433107756377,0.0,0.0009505703422053232,0.9700570342205324,0.0,0.0,0.0,0.0,0.9767501277465508,0.0,0.000510986203372509,0.0,0.0005192107995846313,0.9587227414330218,0.0,0.0005192107995846313,0.0,0.0,0.963404255319149,0.0,0.0,0.0,0.00014932616567738083,0.9995520215029678,0.0,0.00029865233135476166
89,89,2021/09/05,2849,0,0,2730,0,0,3256,0,0,3077,0,0,1111,0,0,1085,0,0,3598,0,0,3373,0,0,3171,0,0,3046,0,0,2084,0,0,1996,0,0,4211,0,0,4060,0,0,3357,0,2,3179,0,0,1697,0,0,1616,0,0,0,2,24162,0,0,24164,0.0,0.0,0.9582309582309583,0.0,0.0,0.0,0.0,0.9450245700245701,0.0,0.0,0.0,0.0,0.9765976597659766,0.0,0.0,0.0,0.0,0.9374652584769316,0.0,0.0,0.0,0.0,0.9605802585935036,0.0,0.0,0.0,0.0,0.9577735124760077,0.0,0.0,0.0,0.0,0.9641415340774163,0.0,0.0,0.0,0.0005957700327673518,0.9469764670837056,0.0,0.0,0.0,0.0,0.9522687094873306,0.0,0.0,0.0,8.276775368316503e-05,0.9999172322463168,0.0,0.0
90,90,2021/09/12,2963,0,0,2842,0,0,3810,0,0,3481,0,0,988,0,0,949,0,0,3977,0,0,3690,0,0,3015,0,0,2884,0,0,2186,0,0,2075,0,0,4627,0,0,4382,0,0,3632,0,3,3432,0,1,1970,0,0,1830,0,0,0,3,25565,0,1,25569,0.0,0.0,0.9591630104623692,0.0,0.0,0.0,0.0,0.9136482939632546,0.0,0.0,0.0,0.0,0.9605263157894737,0.0,0.0,0.0,0.0,0.9278350515463918,0.0,0.0,0.0,0.0,0.9565505804311775,0.0,0.0,0.0,0.0,0.9492223238792314,0.0,0.0,0.0,0.0,0.9470499243570348,0.0,0.0,0.0,0.0008259911894273128,0.9449339207048458,0.0,0.00027533039647577095,0.0,0.0,0.9289340101522843,0.0,0.0,0.0,0.00011732957878681215,0.9998435605616176,0.0,3.910985959560405e-05
91,91,2021/09/19,4264,0,0,4074,0,0,3155,0,0,2845,0,2,1345,0,0,1288,0,0,3887,0,0,3555,0,0,2649,0,4,2519,0,1,2114,0,0,1946,0,2,4360,0,0,4068,0,0,2822,0,2,2637,0,1,2240,0,0,2033,0,0,0,6,24965,0,6,24977,0.0,0.0,0.9554409005628518,0.0,0.0,0.0,0.0,0.901743264659271,0.0,0.0006339144215530904,0.0,0.0,0.9576208178438662,0.0,0.0,0.0,0.0,0.914587085155647,0.0,0.0,0.0,0.0015100037750094375,0.9509248773121933,0.0,0.00037750094375235937,0.0,0.0,0.9205298013245033,0.0,0.000946073793755913,0.0,0.0,0.9330275229357798,0.0,0.0,0.0,0.0007087172218284905,0.9344436569808646,0.0,0.00035435861091424523,0.0,0.0,0.9075892857142858,0.0,0.0,0.0,0.0002402210033230572,0.9995195579933539,0.0,0.0002402210033230572
92,92,2021/09/26,2939,0,0,2791,0,0,5201,0,0,4569,0,1,687,0,0,654,0,0,4160,0,0,3790,0,1,3000,0,0,2826,0,0,2182,0,0,2027,0,0,4367,0,0,4039,0,1,3405,0,0,3149,0,0,2002,0,0,1758,0,0,0,0,25603,0,3,25606,0.0,0.0,0.9496427356243621,0.0,0.0,0.0,0.0,0.8784849067487022,0.0,0.00019227071716977504,0.0,0.0,0.9519650655021834,0.0,0.0,0.0,0.0,0.9110576923076923,0.0,0.0002403846153846154,0.0,0.0,0.942,0.0,0.0,0.0,0.0,0.9289642529789184,0.0,0.0,0.0,0.0,0.9248912296771239,0.0,0.0002289901534234028,0.0,0.0,0.9248164464023495,0.0,0.0,0.0,0.0,0.8781218781218781,0.0,0.0,0.0,0.0,0.9998828399593845,0.0,0.00011716004061548074
93,93,2021/10/03,3858,0,0,3591,0,0,4613,0,1,3982,0,0,1077,0,0,1015,0,0,4072,0,0,3665,0,0,2928,0,0,2719,0,0,2192,0,0,2029,0,0,4821,0,2,4459,0,0,2367,0,0,2135,0,0,2881,0,0,2539,0,0,0,3,26134,0,0,26137,0.0,0.0,0.9307931570762052,0.0,0.0,0.0,0.00021677866897897247,0.8632126598742683,0.0,0.0,0.0,0.0,0.9424326833797586,0.0,0.0,0.0,0.0,0.900049115913556,0.0,0.0,0.0,0.0,0.9286202185792349,0.0,0.0,0.0,0.0,0.9256386861313869,0.0,0.0,0.0,0.00041485169052063887,0.9249118440157643,0.0,0.0,0.0,0.0,0.90198563582594,0.0,0.0,0.0,0.0,0.8812912183269698,0.0,0.0,0.0,0.00011477981405670123,0.9998852201859433,0.0,0.0
94,94,2021/10/10,3481,0,0,3240,0,0,4597,1,1,4007,0,0,1607,0,0,1506,0,0,3176,0,0,2779,0,1,2792,0,0,2553,0,0,2273,0,0,2055,0,0,3081,0,0,2833,0,0,2329,0,0,2122,0,0,3079,0,0,2680,0,1,1,1,23775,0,2,23779,0.0,0.0,0.9307670209709854,0.0,0.0,0.00021753317380900588,0.00021753317380900588,0.8716554274526865,0.0,0.0,0.0,0.0,0.9371499688861232,0.0,0.0,0.0,0.0,0.875,0.0,0.00031486146095717883,0.0,0.0,0.9143982808022922,0.0,0.0,0.0,0.0,0.9040915090189178,0.0,0.0,0.0,0.0,0.9195066536838689,0.0,0.0,0.0,0.0,0.9111206526406183,0.0,0.0,0.0,0.0,0.8704124715816823,0.0,0.0003247807729782397,4.20539131166155e-05,4.20539131166155e-05,0.9998317843475335,0.0,8.4107826233231e-05
95,95,2021/10/17,2825,0,1,2535,0,0,5830,0,0,5016,0,0,1133,0,0,1045,0,0,2324,0,0,2073,0,0,4619,0,0,4114,0,0,2835,0,0,2565,0,0,2903,0,0,2631,1,0,3508,0,0,3126,0,0,4772,0,0,4101,0,0,0,1,27206,1,0,27208,0.0,0.00035398230088495576,0.8973451327433628,0.0,0.0,0.0,0.0,0.8603773584905661,0.0,0.0,0.0,0.0,0.9223300970873787,0.0,0.0,0.0,0.0,0.8919965576592083,0.0,0.0,0.0,0.0,0.8906689759688244,0.0,0.0,0.0,0.0,0.9047619047619048,0.0,0.0,0.0,0.0,0.9063038236307268,0.0003444712366517396,0.0,0.0,0.0,0.8911060433295325,0.0,0.0,0.0,0.0,0.8593880972338642,0.0,0.0,0.0,3.675389591296677e-05,0.9999264922081741,3.675389591296677e-05,0.0
96,96,2021/10/24,6059,0,0,5344,0,0,3824,0,0,3237,0,0,752,0,0,696,0,0,3926,0,0,3361,0,0,3122,0,0,2771,1,0,2490,0,0,2219,0,0,3883,0,1,3463,0,0,2478,0,0,2154,1,1,3521,0,0,2898,0,0,0,1,26143,2,1,26147,0.0,0.0,0.8819937283380096,0.0,0.0,0.0,0.0,0.8464958158995816,0.0,0.0,0.0,0.0,0.925531914893617,0.0,0.0,0.0,0.0,0.8560876209882833,0.0,0.0,0.0,0.0,0.887572069186419,0.00032030749519538755,0.0,0.0,0.0,0.8911646586345382,0.0,0.0,0.0,0.0002575328354365182,0.8918362091166624,0.0,0.0,0.0,0.0,0.8692493946731235,0.0004035512510088781,0.0004035512510088781,0.0,0.0,0.8230616302186878,0.0,0.0,0.0,3.824530538876353e-05,0.999847018778445,7.649061077752706e-05,3.824530538876353e-05
97,97,2021/10/31,3453,0,0,2996,1,0,5924,0,1,4872,0,0,1339,0,0,1183,0,0,3886,0,0,3228,0,0,3900,0,0,3332,0,0,2862,0,0,2483,0,1,4379,0,0,3786,0,0,3656,0,0,3161,1,0,4061,0,0,3299,0,0,0,1,28340,2,1,28344,0.0,0.0,0.8676513176947582,0.0002896032435563278,0.0,0.0,0.00016880486158001352,0.8224172856178258,0.0,0.0,0.0,0.0,0.883495145631068,0.0,0.0,0.0,0.0,0.8306742151312404,0.0,0.0,0.0,0.0,0.8543589743589743,0.0,0.0,0.0,0.0,0.8675751222921034,0.0,0.00034940600978336826,0.0,0.0,0.8645809545558346,0.0,0.0,0.0,0.0,0.8646061269146609,0.0002735229759299781,0.0,0.0,0.0,0.8123614873183945,0.0,0.0,0.0,3.528083545018346e-05,0.9998588766581993,7.056167090036692e-05,3.528083545018346e-05
98,98,2021/11/07,4359,0,0,3634,0,0,6125,0,0,4903,0,1,2333,0,0,2049,0,0,3359,0,0,2716,0,0,5264,0,0,4447,0,0,4182,0,0,3563,0,0,4734,0,0,3950,0,0,3823,0,0,3209,0,2,5255,0,0,4046,0,0,0,0,32517,0,3,32520,0.0,0.0,0.8336774489561826,0.0,0.0,0.0,0.0,0.8004897959183673,0.0,0.00016326530612244898,0.0,0.0,0.8782683240462923,0.0,0.0,0.0,0.0,0.808573980351295,0.0,0.0,0.0,0.0,0.8447948328267477,0.0,0.0,0.0,0.0,0.8519846963175514,0.0,0.0,0.0,0.0,0.8343895226024504,0.0,0.0,0.0,0.0,0.8393931467433953,0.0,0.000523149359142035,0.0,0.0,0.7699333967649857,0.0,0.0,0.0,0.0,0.9999077490774908,0.0,9.225092250922509e-05
99,99,2021/11/14,3386,0,0,2790,0,0,8497,0,0,6623,0,0,1583,0,0,1319,0,0,4188,0,0,3322,0,0,4161,0,0,3449,2,0,3131,0,0,2556,1,0,4641,0,0,3783,0,0,3761,0,0,3078,0,0,6601,0,0,4983,0,0,0,0,31903,3,0,31906,0.0,0.0,0.8239810986414648,0.0,0.0,0.0,0.0,0.7794515711427563,0.0,0.0,0.0,0.0,0.8332280480101074,0.0,0.0,0.0,0.0,0.7932187201528176,0.0,0.0,0.0,0.0,0.8288872867099255,0.0004806536890170632,0.0,0.0,0.0,0.8163526030022357,0.00031938677738741617,0.0,0.0,0.0,0.8151260504201681,0.0,0.0,0.0,0.0,0.8183993618718426,0.0,0.0,0.0,0.0,0.7548856233903954,0.0,0.0,0.0,0.0,0.9999059737980317,9.402620196828183e-05,0.0
