,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,0,0,3,6,8,56,213,181,242,181,919,2108,1296,2561,3642,5254,5705,8297,5094,6464,8078,7817,7075,8162,8467,9684,7033,4692,4221,4465,4142,3633,3090,2572,1064,14,0,0,0,0
