,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,0,0,0,0,0,0,0,0,6,0,19,21,56,122,199,224,454,388,259,340,802,1136,760,1000,748,656,650,392,281,252,271,187,160,154,36,2,0,0,0,0
