,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,0,0,0,0,0,2,0,1,2,2,15,45,54,139,270,363,465,714,413,725,726,498,472,687,792,930,811,473,440,419,439,434,320,259,99,1,0,0,0,0
