,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,0,0,0,0,0,0,0,1,2,5,10,35,71,192,481,1320,1481,1883,644,1254,1829,1483,1202,1018,1401,1821,1306,718,558,659,717,685,582,470,234,1,0,0,0,0
