,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,0,0,2,6,7,33,123,87,99,65,287,610,240,448,619,849,673,1401,884,710,913,728,593,652,427,521,335,359,331,294,228,212,197,141,99,2,0,0,0,0
