,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,0,0,1,0,1,12,57,37,69,60,329,758,462,987,1014,1083,1086,1739,1541,1213,769,668,762,786,523,656,408,330,386,468,297,218,262,229,126,2,0,0,0,0
