,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
0,6,7,36,48,99,327,366,554,1052,1270,2288,970,856,658,782,751,943,1019,855,1057,939,1278,649,1003,1490,1032,682,1167,2044,1319,475,1782,1126,885,213,73,32,1
