,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
0,36,122,504,1285,2380,4035,4512,3765,3060,2532,2384,2087,3053,3657,3472,2483,3239,3920,3770,4006,4328,4018,4003,4409,2806,2595,3431,3749,3926,3765,3793,3300,3621,1674,397,242,93,1
