,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
0,33,31,134,200,491,1249,1605,1117,2108,2550,1912,2036,3343,4316,3396,3453,2878,3279,3574,3080,3338,2546,3081,2096,2083,3094,2122,3095,3185,3057,4661,5263,4016,1969,431,170,58,2
