,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
0,6,18,60,149,457,1012,1041,688,1384,2775,2071,1940,2722,2459,3137,3248,3670,3546,3698,3009,3432,2814,4529,3945,3978,4977,3221,4838,4885,6602,7457,8085,6306,2930,561,178,91,6
