,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
0,2,4,13,52,117,360,968,1218,1782,3271,2469,857,2249,3956,2902,2492,3936,3582,3327,1588,1804,2025,1734,2493,2654,4072,2869,3247,4032,4968,1983,5153,3356,1567,583,115,57,1
