,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
0,5,21,67,113,182,470,609,628,931,1275,1323,838,1467,1092,2024,1900,2271,2452,2001,1975,2047,1932,2004,2013,2037,2538,2198,2460,3551,2549,3595,2770,3261,2128,427,140,44,2
