1064.00000,1213.58000,1164.10000,1174.40000,1065.33000,1387.07000,1244.34000,1192.68000,1076.42000
1065.35000,1213.82000,1162.90000,1174.31000,1065.59000,1387.48000,1243.90000,1192.79000,1075.60000
1062.35000,1214.44000,1161.31000,1172.96000,1068.56000,1391.31000,1240.23000,1195.58000,1075.18000
1067.29000,1211.61000,1163.16000,1170.82000,1069.22000,1388.28000,1242.89000,1196.03000,1074.93000
1070.02000,1216.30000,1163.07000,1170.05000,1069.97000,1385.29000,1239.24000,1196.18000,1073.59000
1071.87000,1216.93000,1166.93000,1170.55000,1071.89000,1385.02000,1235.24000,1196.44000,1071.85000
1071.68000,1217.83000,1164.40000,1168.96000,1073.20000,1386.99000,1234.46000,1195.63000,1071.11000
1071.42000,1221.36000,1167.55000,1171.48000,1073.32000,1386.36000,1234.63000,1192.81000,1069.63000
1065.63000,1222.16000,1169.58000,1172.84000,1073.37000,1384.21000,1235.48000,1193.11000,1068.55000
1064.19000,1228.37000,1162.05000,1168.82000,1074.47000,1382.19000,1236.92000,1193.67000,1061.80000
1061.58000,1226.92000,1164.85000,1175.86000,1079.95000,1388.22000,1234.67000,1191.72000,1064.82000
1058.21000,1230.07000,1166.44000,1170.88000,1082.11000,1391.55000,1237.61000,1189.55000,1065.96000
1054.99000,1232.76000,1163.14000,1170.99000,1079.43000,1401.00000,1240.98000,1190.72000,1064.36000
1057.14000,1234.75000,1167.27000,1178.27000,1081.47000,1393.10000,1248.23000,1203.47000,1064.66000
1062.06000,1233.31000,1168.02000,1178.70000,1080.58000,1388.57000,1250.57000,1201.95000,1065.57000
1062.78000,1237.21000,1168.29000,1186.71000,1081.00000,1391.86000,1248.97000,1208.82000,1068.18000
1060.35000,1240.50000,1169.43000,1188.81000,1080.27000,1395.82000,1248.53000,1211.28000,1070.52000
1061.35000,1240.61000,1172.97000,1189.83000,1079.94000,1396.68000,1250.34000,1209.88000,1070.72000
1059.43000,1238.91000,1177.58000,1195.37000,1085.20000,1405.83000,1246.41000,1211.91000,1071.25000
1056.07000,1237.16000,1176.02000,1197.67000,1092.59000,1411.00000,1251.16000,1215.45000,1074.95000
1057.13000,1234.77000,1174.79000,1200.51000,1096.14000,1410.85000,1256.92000,1208.43000,1081.81000
1053.71000,1228.81000,1174.13000,1201.59000,1096.35000,1413.42000,1262.37000,1207.79000,1084.01000
1053.30000,1231.72000,1177.91000,1207.27000,1104.94000,1405.54000,1265.29000,1217.92000,1084.50000
1055.06000,1237.18000,1181.72000,1211.90000,1101.63000,1402.42000,1262.31000,1223.25000,1078.48000
1053.82000,1236.39000,1177.40000,1210.16000,1107.23000,1401.02000,1261.86000,1215.08000,1077.70000
1048.56000,1239.14000,1181.05000,1210.91000,1108.22000,1400.84000,1262.93000,1215.00000,1074.44000
1048.62000,1237.45000,1182.42000,1210.19000,1108.99000,1400.47000,1261.02000,1215.94000,1074.49000
1051.31000,1238.03000,1182.50000,1211.85000,1109.23000,1398.83000,1260.81000,1216.52000,1075.37000
1051.44000,1235.65000,1181.87000,1212.14000,1108.07000,1402.25000,1262.57000,1219.71000,1071.44000
1051.84000,1237.13000,1182.16000,1211.61000,1107.34000,1401.96000,1257.15000,1221.77000,1072.40000
1051.03000,1238.58000,1181.82000,1211.15000,1108.75000,1400.78000,1257.47000,1221.14000,1072.82000
1056.94000,1238.35000,1181.67000,1212.30000,1106.57000,1396.73000,1255.63000,1224.90000,1077.49000
1055.49000,1238.87000,1181.33000,1212.12000,1107.72000,1394.94000,1256.47000,1228.07000,1076.78000
1055.49000,1238.87000,1181.33000,1212.12000,1107.72000,1394.94000,1256.47000,1228.07000,1076.78000
1058.38000,1241.95000,1181.95000,1210.81000,1107.05000,1396.37000,1257.33000,1232.18000,1080.12000
1059.18000,1242.80000,1187.13000,1205.63000,1101.46000,1405.44000,1255.54000,1231.64000,1080.94000
1058.85000,1240.15000,1184.57000,1207.18000,1108.54000,1411.25000,1254.50000,1233.93000,1083.75000
1059.89000,1242.10000,1183.71000,1208.70000,1108.23000,1409.41000,1252.43000,1233.26000,1083.33000
1057.24000,1243.66000,1187.99000,1217.00000,1109.25000,1417.00000,1257.76000,1239.76000,1079.14000
1057.07000,1241.64000,1189.58000,1217.76000,1109.25000,1417.64000,1259.00000,1243.01000,1079.99000
1057.07000,1241.64000,1189.58000,1217.76000,1109.25000,1417.64000,1259.00000,1243.01000,1079.99000
1057.07000,1241.64000,1189.58000,1217.76000,1109.25000,1417.64000,1259.00000,1243.01000,1079.99000
1057.07000,1241.64000,1189.58000,1217.76000,1109.25000,1417.64000,1259.00000,1243.01000,1079.99000
1057.61000,1235.89000,1187.74000,1223.71000,1110.64000,1418.98000,1262.11000,1241.55000,1083.16000
1057.49000,1237.27000,1189.18000,1221.54000,1110.51000,1418.62000,1264.08000,1243.00000,1085.25000
1059.62000,1239.46000,1188.64000,1223.43000,1111.50000,1415.07000,1260.70000,1242.90000,1088.11000
1059.62000,1239.46000,1188.64000,1223.43000,1111.50000,1415.07000,1260.70000,1242.90000,1088.11000
1058.61000,1237.55000,1191.04000,1224.59000,1109.31000,1415.18000,1266.53000,1243.17000,1088.44000
1058.61000,1237.55000,1191.04000,1224.59000,1109.31000,1415.18000,1266.53000,1243.17000,1088.44000
1058.72000,1238.35000,1189.64000,1224.28000,1107.11000,1416.62000,1266.56000,1242.99000,1086.96000
1058.15000,1237.79000,1191.48000,1226.11000,1106.65000,1416.22000,1266.03000,1242.17000,1087.73000
