,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
0,1,3,11,24,45,29,130,164,254,271,407,596,365,116,61,265,201,125,141,177,133,119,88,32,31,5,0,0,0,0
