,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
0,24,36,27,12,39,48,84,150,212,131,450,441,313,201,162,266,345,174,100,82,74,26,13,5,0,0,0,0,0,0
