,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
0,1,11,14,25,68,59,153,132,147,152,159,369,453,167,79,291,255,115,74,109,88,64,60,22,13,0,0,0,0,0
