,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
0,10,31,44,30,72,61,136,191,357,184,422,493,236,122,60,164,264,90,80,53,50,41,83,19,9,0,0,0,0,0
