,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
0,4,8,33,29,49,148,63,47,182,158,217,258,151,138,43,235,189,239,212,129,131,127,35,44,4,2,0,0,0,0
