,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
0,124,238,314,389,900,776,1706,2286,3048,1947,4377,5232,2771,2032,981,2558,2687,1561,1375,1486,1585,1128,827,253,143,15,0,0,0,0
