,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
0,2,14,19,12,35,52,131,80,160,63,107,202,78,67,55,64,244,187,87,83,84,34,39,17,5,0,0,0,0,0
