,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0
0,3.0,1.0,19.0,225.0,650.0,986.0,2153.0,2979.0,2414.0,1984.0,1625.0,1461.0,1145.0,715.0,498.0,361.0,410.0,1742.0,1442.0,735.0,811.0,173.0,636.0,362.0,265.0,389.0,691.0,947.0,1350.0,1956.0,2027.0,1629.0,2937.0,2706.0,3461.0,3665.0,4822.0,3271.0,6465.0,8394.0,4693.0,2796.0,1542.0,5333.0,7702.0,4294.0,5894.0,6324.0,6090.0,6165.0,1396.0,32.0
